checkout_id,member_id,book_id,checkout_date,return_date,title,author,genre,pages,publication_year,publisher,first_name,last_name,grade,neighborhood,membership_status,join_date
9113,1027,507,2024-06-26,2024-07-08,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25
9144,1024,501,2025-11-07,2025-11-25,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04
9005,1008,513,2025-04-20,2025-04-29,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Ziad,Saleh,8.0,Maadi,active,2025-10-28
9272,1044,518,2025-01-24,2025-02-04,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011.0,Delta House,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19
9283,1072,513,2025-09-17,2025-09-25,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Seif,Zaki,9.0,Zamalek,Active,2025-10-21
9030,1018,507,2025-03-09,,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28
9291,1065,526,2024-03-25,2024-03-31,The Clockwork Orchard,Mahmoud Rafei,Science Fiction,125,2016.0,Delta House,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12
9369,1076,501,2025-06-05,,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Dina,Wahba,7.0,Shubra,Active,2025-12-13
9225,1059,516,2025-08-06,2025-08-22,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press,Lina,Halim,7.0,Heliopolis,Active,2024-01-06
9256,1059,521,2025-07-09,,A Garden of Equations,Karim Elwy,Science,211,2024.0,Cairo Young Readers,Lina,Halim,7.0,Heliopolis,Active,2024-01-06
9234,1053,525,2024-02-13,2024-03-06,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03
9152,1030,525,2025-01-03,,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Reem,Osman,,Nasr City,Active,2025-04-01
9063,1018,515,2024-10-22,,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28
9161,1040,519,2025-10-11,2025-11-01,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Dina,Adel,9.0,Nasr City,Active,2025-12-26
9206,1050,519,2024-03-17,,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Fares,Adel,6.0,Heliopolis,inactive,2025-09-10
9031,1020,530,2025-12-28,2026-01-05,The Sandstone Key,Sara Tantawy,Adventure,208,2012.0,Oasis Books,Rana,Fouad,6.0,Maadi,Active,2025-12-04
9189,1032,507,2025-12-08,2025-12-16,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Nada,Zaki,7.0,Nasr City,Active,2025-10-19
9288,1065,519,2025-03-20,2025-03-31,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12
9236,1052,507,2024-09-02,2024-09-29,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Retaj,Adel,7.0,Heliopolis,Active,2025-06-07
9360,1077,520,2024-03-04,2024-03-16,The Copper Telescope,Jasmine Wahdan,Science Fiction,136,2009.0,Oasis Books,Lina,Rashad,6.0,Shubra,Active,2023-07-08
9111,1027,510,2024-09-12,2024-10-03,The Missing Metronome,Diaa Sultan,Mystery,134,2013.0,Cairo Young Readers,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25
9342,1068,501,2025-05-28,2025-06-27,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Layla,Hegazy,8.0,Zamalek,Inactive,2025-02-24
9380,1022,513,2024-04-22,2024-04-28,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Youssef,Fouad,7.0,Maadi,Active,2025-02-28
9302,1061,507,2024-06-22,,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Ziad,Fahmy,9.0,zamalek,Inactive,2023-04-27
9173,1027,532,2025-03-10,2025-04-06,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25
9019,1014,513,2024-03-06,2024-03-23,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Habiba,Nabil,6.0,Maadi,Active,2024-07-09
9143,1024,518,2025-10-02,,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011.0,Delta House,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04
9222,1050,505,2024-01-09,2024-02-01,Letters to the Nile,Aya Hafez,Historical,216,2024.0,Oasis Books,Fares,Adel,6.0,Heliopolis,inactive,2025-09-10
9101,1020,532,2025-05-25,2025-06-15,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books,Rana,Fouad,6.0,Maadi,Active,2025-12-04
9316,1065,513,2024-08-25,2024-09-17,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12
9148,1027,532,2025-07-05,2025-07-26,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25
9070,1018,513,2025-01-08,2025-02-01,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28
9139,1036,521,2024-03-14,2024-03-20,A Garden of Equations,Karim Elwy,Science,211,2024.0,Cairo Young Readers,Lina,Zaki,7.0,Nasr City,Active,2025-08-05
9043,1005,505,2024-01-26,2024-02-04,Letters to the Nile,Aya Hafez,Historical,216,2024.0,Oasis Books,Youssef,Halim,9.0,Maadi,Active,2024-05-05
9187,1034,502,2024-08-11,,Desert Compass,Amina Darwish,Adventure,109,2018.0,Delta House,Aya,Wahba,9.0,Nasr City,Active,2025-01-22
9269,1054,507,2025-01-26,2025-01-31,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Retaj,Fahmy,6.0,Heliopolis,Inactive,2024-03-21
9056,1010,519,2025-07-11,2025-07-27,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Nour,Nabil,6.0,Maadi ,Active,2024-05-15
9057,1020,519,2025-02-03,,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Rana,Fouad,6.0,Maadi,Active,2025-12-04
9140,1034,513,2025-03-06,2025-04-02,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Aya,Wahba,9.0,Nasr City,Active,2025-01-22
9209,1058,525,2024-11-22,2024-12-12,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Lina,Mansour,8.0,Heliopolis,active,2025-07-20
9249,1057,519,2024-10-17,2024-11-03,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12
9058,1006,501,2025-03-18,2025-04-09,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Layla,Mansour,6.0,Maadi,Inactive,2024-02-12
9366,1079,503,2024-06-23,2024-07-23,The Lantern Maker,Adel Roushdy,Historical,259,,Nile Press,Rana,Osman,8.0,Shubra,Active,2024-10-27
9218,1044,532,2025-04-23,2025-05-04,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19
9355,1075,515,2024-11-10,2024-12-02,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers,Malak,Fahmy,7.0,Shubra,Active,2024-10-28
9205,1053,525,2024-12-02,2024-12-14,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03
9025,1001,525,2024-10-24,2024-11-07,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Salma,Ibrahim,8.0,Maadi,Active,2023-04-05
9124,1024,525,2025-10-14,2025-11-13,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04
9034,1015,511,2025-10-13,,Winter in Alexandria,Farida Anwar,Historical,117,2016.0,Nile Press,Hamza,Sabry,7.0,Maadi,Inactive,2025-08-13
9181,1041,509,2025-03-24,,Marbles and Mirrors,Diaa Sultan,Mystery,221,2011.0,Nile Press,Nada,Rashad,7.0,Nasr City,Active,2024-04-02
9171,1027,507,2025-05-23,2025-06-19,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25
9318,1067,513,2025-07-23,2025-08-17,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Aya,Ibrahim,7.0,Zamalek,Inactive,2024-07-03
9296,1065,501,2024-12-15,2025-01-11,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12
9348,1075,532,2024-07-28,2024-08-25,The Last Bookmark,Samir Zohdy,Friendship,337,2017.0,Oasis Books,Malak,Fahmy,7.0,Shubra,Active,2024-10-28
9141,1027,529,2025-02-09,2025-03-03,Riddles of the Red Sea,Sara Tantawy,Mystery,298,,Cairo Young Readers,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25
9094,1022,527,2024-11-22,2024-12-08,Notes from the Delta,Mona Kholoussy,Nature,328,2017.0,Delta House,Youssef,Fouad,7.0,Maadi,Active,2025-02-28
9280,1054,517,2024-09-06,2024-09-15,Shadows on the Corniche,Hani Nagati,Mystery,338,2015.0,Delta House,Retaj,Fahmy,6.0,Heliopolis,Inactive,2024-03-21
9211,1044,507,2025-04-28,2025-05-25,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19
9294,1067,507,2024-11-26,,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Aya,Ibrahim,7.0,Zamalek,Inactive,2024-07-03
9372,1076,519,2025-03-06,2025-04-02,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Dina,Wahba,7.0,Shubra,Active,2025-12-13
9112,1031,521,2024-07-28,2024-08-22,A Garden of Equations,Karim Elwy,Science,211,2024.0,Cairo Young Readers,Ali,Fahmy,8.0,NASR CITY,Active,2023-09-08
9001,1008,501,2025-08-23,2025-08-28,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Ziad,Saleh,8.0,Maadi,active,2025-10-28
9328,1070,501,2024-01-28,,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Ahmed,Zaki,9.0,Zamalek,Active,2025-07-22
9075,1018,510,2024-07-01,,The Missing Metronome,Diaa Sultan,Mystery,134,2013.0,Cairo Young Readers,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28
9149,1032,507,2025-02-09,2025-02-18,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Nada,Zaki,7.0,Nasr City,Active,2025-10-19
9165,1030,519,2025-03-27,2025-04-02,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Reem,Osman,,Nasr City,Active,2025-04-01
9255,1044,509,2025-05-24,2025-06-13,Marbles and Mirrors,Diaa Sultan,Mystery,221,2011.0,Nile Press,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19
9304,1068,519,2024-04-16,2024-05-09,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Layla,Hegazy,8.0,Zamalek,Inactive,2025-02-24
9322,1061,510,2025-10-20,2025-11-15,The Missing Metronome,Diaa Sultan,Mystery,134,2013.0,Cairo Young Readers,Ziad,Fahmy,9.0,zamalek,Inactive,2023-04-27
9317,1061,507,2024-01-26,2024-02-09,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Ziad,Fahmy,9.0,zamalek,Inactive,2023-04-27
9271,1044,513,2025-04-26,2025-05-06,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19
9186,1034,516,2025-07-17,2025-08-03,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press,Aya,Wahba,9.0,Nasr City,Active,2025-01-22
9333,1072,520,2025-06-03,2025-06-08,The Copper Telescope,Jasmine Wahdan,Science Fiction,136,2009.0,Oasis Books,Seif,Zaki,9.0,Zamalek,Active,2025-10-21
9188,1023,507,2025-05-11,2025-06-08,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Hassan,Rashad,8.0,Nasr City,Inactive,
9371,1079,528,2025-04-22,2025-05-02,The Glass Beehive,Mona Kholoussy,Nature,114,2010.0,Delta House,Rana,Osman,8.0,Shubra,Active,2024-10-27
9036,1010,515,2024-11-27,2024-12-24,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers,Nour,Nabil,6.0,Maadi ,Active,2024-05-15
9163,1034,531,2025-12-28,2026-01-02,Voices in the Library,Samir Zohdy,Friendship,272,2018.0,Oasis Books,Aya,Wahba,9.0,Nasr City,Active,2025-01-22
9091,1008,525,2024-06-03,2024-06-12,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Ziad,Saleh,8.0,Maadi,active,2025-10-28
9092,1019,507,2025-03-20,2025-03-27,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Mostafa,Wahba,6.0,Maadi,Inactive,2024-07-20
9040,1016,529,2025-01-23,2025-02-11,Riddles of the Red Sea,Sara Tantawy,Mystery,298,,Cairo Young Readers,Dina,Rashad,8.0,Maadi,Active,2023-04-24
9376,1024,518,2025-10-22,2025-11-04,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011.0,Delta House,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04
9033,1020,522,2025-02-26,2025-03-11,The Puzzle Merchant,Karim Elwy,Mystery,104,2016.0,Cairo Young Readers,Rana,Fouad,6.0,Maadi,Active,2025-12-04
9341,1065,516,2025-02-19,2025-03-09,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12
9247,1044,510,2025-02-01,2025-02-23,The Missing Metronome,Diaa Sultan,Mystery,134,2013.0,Cairo Young Readers,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19
9184,1026,501,2024-12-15,2025-01-11,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Nada,Saleh,7.0,Nasr City,inactive,2023-11-16
9228,1044,516,2024-12-05,2024-12-26,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19
9331,1065,525,2025-02-17,2025-02-23,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12
9207,1044,527,2025-10-20,2025-11-04,Notes from the Delta,Mona Kholoussy,Nature,328,2017.0,Delta House,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19
9323,1072,519,2024-01-23,2024-01-28,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Seif,Zaki,9.0,Zamalek,Active,2025-10-21
9337,1072,529,2024-11-13,,Riddles of the Red Sea,Sara Tantawy,Mystery,298,,Cairo Young Readers,Seif,Zaki,9.0,Zamalek,Active,2025-10-21
9326,1062,501,2024-08-15,2024-08-21,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Tarek,Adel,7.0,Zamalek,Active,2023-01-22
9128,1024,501,2025-06-12,2025-06-19,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04
9123,1027,511,2025-03-23,2025-04-11,Winter in Alexandria,Farida Anwar,Historical,117,2016.0,Nile Press,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25
9003,1015,501,2024-08-04,2024-08-13,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Hamza,Sabry,7.0,Maadi,Inactive,2025-08-13
9066,1005,513,2025-07-15,2025-07-31,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Youssef,Halim,9.0,Maadi,Active,2024-05-05
9053,1008,516,2025-07-20,2025-08-08,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press,Ziad,Saleh,8.0,Maadi,active,2025-10-28
9052,1019,501,2024-06-20,2024-06-29,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Mostafa,Wahba,6.0,Maadi,Inactive,2024-07-20
9162,1030,519,2025-08-27,2025-09-11,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Reem,Osman,,Nasr City,Active,2025-04-01
9027,1018,519,2024-11-04,,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28
9194,1024,513,2024-09-17,2024-10-09,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04
9120,1034,526,2025-06-06,2025-06-26,The Clockwork Orchard,Mahmoud Rafei,Science Fiction,125,2016.0,Delta House,Aya,Wahba,9.0,Nasr City,Active,2025-01-22
9182,1037,525,2024-05-19,2024-06-03,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Retaj,Kamel,,Nasr City,Inactive,2023-08-26
9241,1059,519,2025-01-04,2025-01-11,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Lina,Halim,7.0,Heliopolis,Active,2024-01-06
9172,1030,513,2025-05-04,2025-05-26,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Reem,Osman,,Nasr City,Active,2025-04-01
9193,1034,519,2024-09-15,2024-10-01,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Aya,Wahba,9.0,Nasr City,Active,2025-01-22
9100,1010,513,2025-08-27,2025-09-22,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Nour,Nabil,6.0,Maadi ,Active,2024-05-15
9227,1059,513,2024-11-02,2024-11-20,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Lina,Halim,7.0,Heliopolis,Active,2024-01-06
9110,1030,506,2024-05-14,2024-05-30,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press,Reem,Osman,,Nasr City,Active,2025-04-01
9021,1008,501,2025-05-22,2025-05-29,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Ziad,Saleh,8.0,Maadi,active,2025-10-28
9007,1008,507,2025-03-15,2025-03-31,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Ziad,Saleh,8.0,Maadi,active,2025-10-28
9365,1075,501,2024-01-17,2024-02-01,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Malak,Fahmy,7.0,Shubra,Active,2024-10-28
9142,1027,516,2024-09-21,2024-10-14,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25
9073,1008,513,2025-02-13,,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Ziad,Saleh,8.0,Maadi,active,2025-10-28
9024,1010,507,2025-01-27,2025-02-09,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Nour,Nabil,6.0,Maadi ,Active,2024-05-15
9067,1008,507,2024-01-05,2024-01-29,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Ziad,Saleh,8.0,Maadi,active,2025-10-28
9324,1061,529,2025-03-12,2025-04-10,Riddles of the Red Sea,Sara Tantawy,Mystery,298,,Cairo Young Readers,Ziad,Fahmy,9.0,zamalek,Inactive,2023-04-27
9250,1044,507,2025-08-05,2025-08-23,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19
9090,1016,507,2025-02-18,2025-03-04,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Dina,Rashad,8.0,Maadi,Active,2023-04-24
9198,1027,524,2024-10-03,2024-10-19,The Weaver's Daughter,Laila Shokry,Historical,114,2016.0,Cairo Young Readers,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25
9046,1022,513,2024-02-22,,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Youssef,Fouad,7.0,Maadi,Active,2025-02-28
9115,1034,502,2025-12-16,2026-01-15,Desert Compass,Amina Darwish,Adventure,109,2018.0,Delta House,Aya,Wahba,9.0,Nasr City,Active,2025-01-22
9310,1067,511,2024-02-04,2024-02-12,Winter in Alexandria,Farida Anwar,Historical,117,2016.0,Nile Press,Aya,Ibrahim,7.0,Zamalek,Inactive,2024-07-03
9357,1077,516,2024-07-26,2024-08-15,The Beekeeper's Almanac,Hoda Bakry,Nature,241,2010.0,Nile Press,Lina,Rashad,6.0,Shubra,Active,2023-07-08
9286,1072,507,2024-08-09,2024-08-16,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Seif,Zaki,9.0,Zamalek,Active,2025-10-21
9354,1079,502,2024-03-09,2024-03-18,Desert Compass,Amina Darwish,Adventure,109,2018.0,Delta House,Rana,Osman,8.0,Shubra,Active,2024-10-27
9290,1065,519,2025-10-09,,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12
9257,1047,501,2024-10-18,2024-11-16,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Sara,Rashad,,Heliopolis,Inactive,2024-06-25
9261,1047,509,2025-09-02,2025-09-18,Marbles and Mirrors,Diaa Sultan,Mystery,221,2011.0,Nile Press,Sara,Rashad,,Heliopolis,Inactive,2024-06-25
9119,1024,518,2025-02-26,2025-03-15,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011.0,Delta House,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04
9313,1068,507,2024-12-13,2024-12-19,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Layla,Hegazy,8.0,Zamalek,Inactive,2025-02-24
9213,1050,501,2024-05-07,2024-05-14,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Fares,Adel,6.0,Heliopolis,inactive,2025-09-10
9051,1003,513,2025-07-22,2025-08-18,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Bassel,Hegazy,6.0,Maadi,Active,2025-04-23
9093,1008,507,2025-03-22,2025-04-19,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,Ziad,Saleh,8.0,Maadi,active,2025-10-28
9274,1054,522,2024-09-06,2024-09-17,The Puzzle Merchant,Karim Elwy,Mystery,104,2016.0,Cairo Young Readers,Retaj,Fahmy,6.0,Heliopolis,Inactive,2024-03-21
9292,1074,525,2024-12-28,2025-01-06,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Mostafa,Saleh,8.0,Zamalek,Active,2025-11-21
9009,1022,506,2025-04-28,2025-05-04,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press,Youssef,Fouad,7.0,Maadi,Active,2025-02-28
9064,1008,502,2025-06-12,2025-06-21,Desert Compass,Amina Darwish,Adventure,109,2018.0,Delta House,Ziad,Saleh,8.0,Maadi,active,2025-10-28
9169,1030,513,2025-11-25,,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Reem,Osman,,Nasr City,Active,2025-04-01
9358,1077,513,2025-07-09,2025-07-24,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Lina,Rashad,6.0,Shubra,Active,2023-07-08
9297,1065,501,2025-04-14,,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12
9214,1058,525,2024-09-24,,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Lina,Mansour,8.0,Heliopolis,active,2025-07-20
